commentView,commentScore,commentTitle,commentName
看了两集，忍不住出说两句，这部剧的拍摄，构图，服装，色彩搭配方面还是可以的，但演员方面一味追求颜值，忽略了演技，陈伟霆先不说，演技方面还可以，之后再说，先说副官吧，台词生硬，有语病（没注意到的可以再看一遍，仔细看），还有就是我最想吐槽的八爷，说话永远是一副表情，基本没怎么变过，仔细看的话会发现这朋友头发染的是酒红色的，当时能不能染这种发色我不清楚，反正看了这么多30年代剧我是第一次见，其次说说张艺兴演的二爷吧，艺兴是我喜欢的一个明星，看得出来他也在很努力的去诠释二爷这个角色，但可以查看出来因为演技和经验方面的缺失，还要演一个稳重成熟有内涵的角色，他表现的还是很青涩，但他认真的态度是毋庸置疑的，看第二集的时候我正在吃饭，喷饭了，因为看到了八爷回忆的片段，陈伟霆的打戏，要不是后来逗比的背景音乐我还真就觉得厉害了，这还算好的，最后那中二眼神的三撇才是让我喷饭的画龙点睛之作，让我本来还对主演抱有的一丝希望彻底破灭。这里忠告下小说的爱好者们，没有必要充钱来看，会失望的,4,观后小感,木秀于林_qq1286
没有盗墓笔记好看，   重要镜头模糊， 不放，佛爷手受伤都不弄个特写， 这个就是重点啊， 看的莫名其妙，就靠演员的表情， 真是醉了，不深入，， 个人感觉还是盗墓笔记的那种看的让人还是想看。重点啊重点， 这种剧播的太慢了， 吐槽要 来了， 掐指一算，即将有大波的吐槽军队，，剧情太慢太垃圾，不知道怎么放到48集， 我是没有看过小说的,2,没有盗墓笔记好看,景豆豆11
"继盗墓笔记文物上交国家，这次老九门又来揭穿日本人阴谋来抗日
南派三叔，能别让这么糟蹋你的作品么！
导演！片头曲的音效能做好一点么，陈伟霆一打架能不能不放音乐，我就想安静的看他打架
剧组是没钱么，丫头一身绿裙穿了六集，后面还要不要穿！
导演你给陈皮和二爷搞那么现代的发型这样真的好么，陈伟霆手受伤的五毛特效都做不了么？
日了狗了，从十点看到现在！",2,老九门抗日英雄传！,爱上网の乐正凌晴
我觉得挺好的，全程没快进过。首先场景、拍摄、服装等等都还不错。陈伟霆是真的很棒，气场足，颜值高，演技也好，最最重要的是打戏很棒，我觉得他很好地诠释了佛爷这个角色；看评论，似乎挺多人都是冲着张艺兴来的，我觉得张艺兴还在进步中，演技还有很大的提升空间；看评论似乎很多人觉得八爷太多嘴，我觉得还好啦；至于陈皮吧，个人不是很喜欢这个角色，可能是一向不喜欢双面人的原因。发型问题我就不说了。前几集有个八爷回忆佛爷去救他的片段，佛爷被砍了很多刀，心疼之余，我觉得很切实际，这至少不像别的剧男主如同拥有金手指一人独挑几十人却毫发无损，我觉得这一点是不错的。至于有人说的剧情问题，着你们只能问参与编剧工作的人喽,10,。,feifeiyun1017
从演员到人物。到剧情。。一切的一切。全是烂 。烂 拍的太烂 。。。太菜了。。实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片,2,写个吸引人的标题吧,挺OK一个人
不想多说，失望！！！！！！！垃圾，垃圾，垃圾！！妈蛋，我等了好久这部剧。本来想给负分的，但没有。这2分给部分场景服装还有片尾曲《典狱司》。不想多说，失望！！！！！！！垃圾，垃圾，垃圾！！不想多说，失望！！！！！！！垃圾，垃圾，垃圾！！！不想多说，失望！！！！！！！垃圾，垃圾，垃圾！！！不想多说，失望！！！！！！！垃圾，垃圾，垃圾！！！不想多说，失望！！！！！！！垃圾，垃圾，垃圾！！,2,失望！！导演编剧哪个学校毕业的？,一己思欲
后面开始就是寻龙诀和盗梦空间的合体了吧，演员表现和拍摄都还说得过去，就这个剪辑剪的 明显删减好多重要细节，蹦蹦跳跳。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。,6,后面开始就是寻龙诀和盗梦空间的合体了吧,138****2881_m1163
对于老九门很陌生，完全是因为演员才好奇来看的，没有看过原作小说，所以就不说啥剧情了，但不管别人怎么评论，反正我是看的挺开心的，演员颜值高看着也赏心悦目，想吐槽的有两件事：一是片尾曲好中二，看起来有点傻... 二就是演的确实有点假，举个例子吧。。第一集里某个死尸在呼吸的时候把那网吹的一起一落的。。还有断胳膊的那兄弟可能是胳膊太粗的原因- -放衣服里好明显啊。。。,10,期待张艺兴的演技,_骑牛去约会_qq1435
看预告的时候，真心期待正片，但看后觉得剧加入军阀的东西，变得有点像国内的战争片，一堆军人热血的保家卫国，倒斗的戏太少，还是期待下墓探险的多一点，重点是配角戏份太多，经常说不到重点，一集下来都不知道想表达什么。我买VIP是看主角们怎么去下墓的，不是看配角在旁边唧唧弯弯的。有点少失望。对于那个歪果仁以及那个日本特务，看到就觉得烦了！,8,配角太抢戏了,Jo❣℉喬_Oj
《老九门》算是国产剧中不错的了，虽然有槽点，但瑕不掩瑜，看得出来制作的用心和苦心，本来这类题材就难影视化，何况还要上电视，作为原著粉表示能在电视上看到这样的剧还是蛮欣慰的。是三叔选择做的，我就支持，并不觉得毁小说，毕竟三叔的小说也还没出版。而且作为理智饭，小说和影视剧虽然同胎IP，但毕竟是不同形式的两部作品，不能一概而论，毕竟影视题材有影视的特点。特别是从第二周的剧情开始逐渐进入主线，越来越好看，期待精彩后续。,8,良心之作，虽有槽点，瑕不掩瑜,希silvia96
拍成这样，我一点都不想吐槽什么了 简直就是专门给脑残粉看的 太垃圾了 我看到的只有小鲜肉耍帅 这爷那爷的让一群20多岁的人演 竟然还有徒弟 我的天 简直一无是处 要逻辑没逻辑 要演技没演技 要真实没真实 我都恨不得评负分 连盗墓笔记都不如 在此剧中老九门个个都是帅哥 都是超人 都是无敌的 脑残粉们应该看的很爽 各种YY 我就不说编剧 导演的 反正只要有明星帅哥就有钱赚 剧情什么的 演技什么的根本不重要,2,果断不看了  ,白羊座l
"我真是看不下去了，说的不能碰丝网，带上护具后呼哧呼哧就过去了，虎虎生风啊，这是在扯淡吗？
还有上一集，那墙不是吸人吗？二舅老爷挖了几下就靠着墙哭，这是在侮辱观众智商吗？
编剧导演有没有逻辑？有没有脑子？出门落家里了吧
再说这特技，那丝网网人的那个，街上找个婚庆做的都比这个好吧？钱都花哪了？
撒盐那段，张大佛爷问撒的什么，艺兴能说一句生活中大家经常用到的东西，这是在做科普吗？这水平也敢写剧本，改剧本，心是多大，也能拍出来，真可以！",2,真忍不住了！,186****1703_m1519
"勉强8分。
比盗墓好很多，但是说真的二爷没演出我心里的感觉，丫头也是很无感……
感情戏太拖沓！！！！！！
太拖沓！
不过国产剧是不是都得拉段感情……
那段戏唱的完全不是感觉，不能全怪演技吧，但是有一部分在里头。
陈皮一点戾气也出不出来。
八爷……唉。
我喜欢的八爷反正不是这个一个样子的！！！！！！！！没有人际关系处理很圆滑的模样。
佛爷还好，但是那段一堆人冲出来太傻了！！！！！！太傻了！！！！！！！！不要为了衬托一个人把所有人变成傻逼智障好吗！！",8,QnQ,溯年旧景
不想多说，失望！！！！！！！垃圾，垃圾，垃圾！！妈蛋，我等了好久这部剧。本来想给负分的，但没有。这2分给部分场景服装还有片尾曲《典狱司》。不想多说，失望！！！！！！！垃圾，垃圾，垃圾！！不想多说，失望！！！！！！！垃圾，垃圾，垃圾！！！不想多说，失望！！！！！！！垃圾，垃圾，垃圾！！！不想多说，失望！！！！！！！垃圾，垃圾，垃圾！！！不想多说，失望！！！！！！！垃圾，垃圾，垃圾！！,2,失望！！导演编剧哪个学校毕业的？,一己思欲
从演员到人物。到剧情。。一切的一切。全是烂 。烂 拍的太烂 。。。太菜了。。实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片实实实的烂 片,2,写个吸引人的标题吧,挺OK一个人
后面开始就是寻龙诀和盗梦空间的合体了吧，演员表现和拍摄都还说得过去，就这个剪辑剪的 明显删减好多重要细节，蹦蹦跳跳。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。,6,后面开始就是寻龙诀和盗梦空间的合体了吧,138****2881_m1163
对于老九门很陌生，完全是因为演员才好奇来看的，没有看过原作小说，所以就不说啥剧情了，但不管别人怎么评论，反正我是看的挺开心的，演员颜值高看着也赏心悦目，想吐槽的有两件事：一是片尾曲好中二，看起来有点傻... 二就是演的确实有点假，举个例子吧。。第一集里某个死尸在呼吸的时候把那网吹的一起一落的。。还有断胳膊的那兄弟可能是胳膊太粗的原因- -放衣服里好明显啊。。。,10,期待张艺兴的演技,_骑牛去约会_qq1435
满分，比盗墓笔记看着更爽满分，比盗墓笔记看着更爽满分，比盗墓笔记看着更爽满分，比盗墓笔记看着更爽满分，比盗墓笔记看着更爽满分，比盗墓笔记看着更爽满分，比盗墓笔记看着更爽满分，比盗墓笔记看着更爽满分，比盗墓笔记看着更爽满分，比盗墓笔记看着更爽满分，比盗墓笔记看着更爽满分，比盗墓笔记看着更爽满分，比盗墓笔记看着更爽满分，比盗墓笔记看着更爽,10,满分，比盗墓笔记看着更爽,130****3964_m1041
特效一般，剧情还行，动作戏慢动作太多，没有打斗那种热血的气氛，全是在耍酷，演员演技浮夸，剧情有点假，就拿裘德考给那女的打针，刚打就不疼了，常识想想都没这么快的，演员太年轻，基本上全是一些新近的演员，眼睛方面还需磨炼，每次看到这样的电影，都希望是一部悬疑片，略带点科幻，然而每次看完都是科幻的远远大于悬疑,4,个人影评,拍拍灬小屁屁
没什么意思！特效虽然比盗墓笔记强一点但是依旧不怎么的，第四集张大佛爷的手你倒是给个特写啊我去！剧情好像在故意往后拖，几个画面能搞定的都能演一集了，关于墓里面到底有什么秘密，剧组也一直在吊人胃口。八爷就是个逗逼，装神仙给人剃头来套话的剧情我也是醉了。而且你让几个小鲜肉演这个真的合适吗？靠颜值来撑场的剧还有什么意思，劳资对小鲜肉并不感兴趣，你找几个大叔来演我也无所谓（说实话一想起张大佛爷还是老成的人更容易让人接受），我是来看剧情的好不好,2,个人影评,189****0390_m1699
服装不错。不像是盗墓的，个个光鲜亮丽。一个一个像唱戏的，都跟二爷一伙的。整戏拖沓，故弄玄虚，动作夸张。精的太精，傻的太傻，真是奇巧。要有耐心，要有脑残粉的心智才能继续下去“”“”“”服装不错。不像是盗墓的，个个光鲜亮丽。一个一个像唱戏的，都跟二爷一伙的。整戏拖沓，故弄玄虚，动作夸张。精的太精，傻的太傻，真是奇巧。要有耐心，要有脑残粉的心智才能继续下去“”“”“”,4,不是盗墓的，是唱戏的,186****5886_m2311
喜欢喜欢喜欢 张艺兴我爱你 张艺兴我爱你 张艺兴我爱你 张艺兴我爱你 张艺兴我爱你 张艺兴我爱你 张艺兴我爱你 张艺兴我爱你 张艺兴我爱你 张艺兴我爱你 张艺兴我爱你 张艺兴我爱你 张艺兴我爱你 张艺兴我爱你 张艺兴我爱你 张艺兴我爱你 张艺兴我爱你 张艺兴我爱你 张艺兴我爱你 张艺兴我爱你 张艺兴我爱你 张艺兴我爱你 张艺兴我爱你 张艺兴我爱你 张艺兴我爱你 张艺兴我爱你 张艺兴我爱你 张艺兴我爱你 张艺兴我爱你 张艺兴我爱你 张艺兴我爱你 张艺兴我爱你 ,10,喜欢喜欢,艺兴的小拐杖
说好的陈伟霆和张艺兴呢？？？只是你们宣传的噱头吧？？剧情拖沓，重复，你们只是为了多凑几集吗？？？把观众当傻子吗？？？烂片，心疼陈伟霆和张艺兴，被人当噱头，镜头还那么少。。。。多亏没有充值VIP，我突然想到一个领衔主演，那就不是主演，只是借这个演员的名气，好制造噱头。。。以后见到领衔主演的还是别看了，镜头太少。。。那些配角一个都不认识，这部片子是冲陈伟霆和张艺兴来的，结果被骗了。。。什么陆建勋，陈皮，霍三娘，还有那个老外，真的镜头太多了。。。我看你们才是真的主角,2,主角只是噱头，全是配角的戏,157****8597_m3220
"军装太帅了
看老九门完全被张大佛爷吸引了！陈伟霆太帅了！陈伟霆太帅了！陈伟霆太帅了！陈伟霆太帅了！陈伟霆太帅了！陈伟霆太帅了！看老九门完全被张大佛爷吸引了！陈伟霆太帅了！陈伟霆太帅了！陈伟霆太帅了！陈伟霆太帅了！陈伟霆太帅了！陈伟霆太帅了！看老九门完全被张大佛爷吸引了！陈伟霆太帅了！陈伟霆太帅了！陈伟霆太帅了！陈伟霆太帅了！陈伟霆太帅了！陈伟霆太帅了！看老九门完全被张大佛爷吸引了！陈伟霆太帅了！陈伟霆太帅了！陈伟霆太帅了！陈伟霆太帅了！陈伟霆太帅了！陈伟霆太帅了！",10,看老九门完全被张大佛爷吸引了,TWINKKKLE
剧情实在拖沓，14集了还没进入主题！宣传时可是说了要超越余罪的存在！就这？！要说演技，说实话，余罪上的角色演员演技都超越他们一大截，不是说余罪多好，而是这部电视剧确实和宣传的比起来差了太多！平心而论，这部戏除了看看演员的颜值，没什么太大的亮点了！至少现在这14集里还看不出来有什么两眼的地方！那些说演技好的，真不知道你们是从哪看出来的，到底是托？还是托？还是托啊？？？,2,剧情实在拖沓,小虎_5429
很喜欢盗墓笔记，期待第二季，但是没出来，看到了老九门，是盗墓笔记的前传，支持南派三叔的小说！ 如果不需要会员看，那就更好了，同意的点个赞    丧妻之后两年， 二月红过寿， 只请了几个年轻辈的， 半夜下着雨， 麻将摆起， 他似乎已经不那么悲伤了， 那些悲伤， 却又似乎散落在这间房子的所有角落， 随时可以踩到几分。    他确实做到了，她心想，可惜他没有想到，她能看到的一辈子，却不是他的一辈子。,10,等了好久，终于开播了,唯愛穎寶
实在是太难看了，感觉快进一集一下子就完了，尽是演了一无聊的东西，一点也不精彩，八爷能不能不要这么啰嗦，看得我只想快进，觉得比盗墓笔记还不如。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。,2,无聊不精彩,爱唱歌de羊角合瑞
没事别逼逼 ，爱看不看 ，看了就把嘴闭上 让你看了 ，谁要你看了，有种就别看 看了还瞎巴巴，你牛你来拍，别纸上谈兵，林子大了，真是什么鸟都有，最烦那些假装专家乱评论的人 ，你牛你怎么没去当评委，在这里瞎巴巴，不怕说大话闪了舌头，一些人没事吐槽，你别看，看了还瞎巴巴，有本事你就别看 ，看了说不好看，让你看了。真是天要下雨，娘要嫁人，当了婊子还要立牌坊,10,爱看不看，有没事逼逼本领，去拍一部去,132****8722_m1686
渣渣！要不是同IP，老子鸟都不鸟！！！！！渣渣！要不是同IP，老子鸟都不鸟！！！！！渣渣！要不是同IP，老子鸟都不鸟！！！！！渣渣！要不是同IP，老子鸟都不鸟！！！！！渣渣！要不是同IP，老子鸟都不鸟！！！！！渣渣！要不是同IP，老子鸟都不鸟！！！！！渣渣！要不是同IP，老子鸟都不鸟！！！！！渣渣！要不是同IP，老子鸟都不鸟！！！！！渣渣！要不是同IP，老子鸟都不鸟！！！！！渣渣！要不是同IP，老子鸟都不鸟！！！！！渣渣！要不是同IP，老子鸟都不鸟！！！！！渣渣！要不是同IP，老子鸟都不鸟！！！！！渣渣！要不是同IP，老子鸟都不鸟！！！！！渣渣！要不是同IP，老子鸟都不鸟！！！！！渣渣！要不是同IP，老子鸟都不鸟！！！！！渣渣！要不是同IP，老子鸟都不鸟！！！！！渣渣！要不是同IP，老子鸟都不鸟！！！！！渣渣！要不是同IP，老子鸟都不鸟！！！！！渣渣！要不是同IP，老子鸟都不鸟！！！！！渣渣！要不是同IP，老子鸟都不鸟！！！！！渣渣！要不是同IP，老子鸟都不鸟！！！！！渣渣！要不是同IP，老子鸟都不鸟！！！！！渣渣！要不是同IP，老子鸟都不鸟！！！！！渣渣！要不是同IP，老子鸟都不鸟！！！！！渣渣！要不是同IP，老子鸟都不鸟！！！！！渣渣！要不是同IP，老子鸟都不鸟！！！！！渣渣！要不是同IP，老子鸟都不鸟！！！！！渣渣！要不是同IP，老子鸟都不鸟！！！！！,2,又是一部渣剧！,喂你的益达110
毁了三叔的小说，什么鸡巴剧情，拖拖拉拉的要死啊，我也是醉了，硬生生拖出几十集，一集里面有营养的东西估计也就十几分钟的内容，简直就是专门给脑残粉看的 太垃圾了 我看到的只有小鲜肉耍帅 这爷那爷的让一群20多岁的人演 竟然还有徒弟 我的天 简直一无是处 要逻辑没逻辑 要演技没演技 要真实没真实 我都恨不得评负分 连盗墓笔记都不如,2,保底2分,点击领取大礼包
剧情太拖沓了，而且还是毫无悬念的剧情，比如火车偷邀请函，没有偷之前谁都知道肯定能偷到，非要加一段打斗戏，开始和结果都可以知道，加那段打斗戏有什么用？耍帅？ 如果你说这是一部打斗电视剧，那你就牛逼了。 真没有看着这部电视剧的看点在哪里？看帅哥美女？也不多啊。看打斗？那动作谁都知道是假的离谱。看盗墓？也没盗啊。前12集用一句话就可以概况了：张启山讨二月红的欢心，和他一起下墓。 这么一句话至于拍12集吗？而且12集还没有拍完这段。,2,真心评论这部电视剧,damon_sxm
天朝烂片真是没底限的。。。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！。唉！！！！,2,天朝烂片真是没底限的。。。唉,2367265746
此剧算是良心作品了，条理清晰。阵容不错，同是小鲜内出演，老九门比盗墓笔记高出不少水平，陈伟霆自古剑红了后作品不少，比较喜欢的还是这个。张艺兴虽然第二次出演电视剧，演技已大有进步，眼神已有内容，他适合的就是这种以微表情演绎的方式，并非面瘫，演技要的不是表情浮夸，你见过梁朝伟浮夸吗？以一个歌者出身的艺人来说，非常不错了，等假以时日作品多了，得到历练会更好的。,10,比想像中要好，可以期待看看,158****6333_m1399
陈伟霆的佛爷爱国爱民身手了得 张艺兴的二月红轻功高强打斗厉害痴情之人 尹新月可爱聪明敢爱敢恨 这部剧的画风和音乐都是很不错值得一看 后面一定更精彩 希望佛爷和新月是一个圆满的结局 丽颖真是演什么像什么 从小骨到妖神 到新月和碧瑶 还有明年将播的 楚乔传 个个都能把人物演的活灵活现 好欺待 陈伟霆和赵丽颖 能合拍一定金庸先生笔下的一部作品 此生足已！,10,我是专门来看颖宝宝的,abbey800
像是抗日神劇一樣. 不同的是這部劇男主長得好看..    失望了         失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了  失望了 ！！！                                                                                                                                                                                                 ,4,！！,爱奔跑的主父语燕
"盗墓笔记演成这样，我也是醉了， 这叫什么盗墓，打一下还来音乐， 神经病的电视！
吓 怎么能拍出四十八集 看了一集 快进看 还不如拍成电影 起个一样的名字而已 完全没小说人物的性格 毁了三叔的小说了 不如不拍 如果说换了主演就这垃圾电视剧还没抗日神剧好看 脑残粉太多 超级差评0分 《完全是一分钱的特效 真尼玛垃圾啊 垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾",2,完全没有盗墓笔记小说 的一点味道 ,185****5832_m1556
浪费我感情，这剧让我看睡着了，不知道要说啥，这也不是三叔的路子啊！特效也不值五毛钱，而且各种BUG，第二集陈伟霆被砍那么多刀居然没事，去山里找铁轨的时候两条铁轨居然就那么直接叠在一起哎（一条在上面、一条在下面），这火车怎么开的？没什么好说的，找不到零分！我去，居然还没到140字！我去，居然还没到140字！我去，居然还没到140字！我去，居然还没到140字！我去，居然还没到140字！我去，居然还没到140字！我去，居然还没到140字！,2,剧情这慢的，全TN是对白啊！,有人  別犯賤
"对于电视剧来说已经很不错。而且本来就是三叔自己监制的，他自己的小说想怎么改怎么改再加上我们的影视剧的环境，就不错了 。
对于一部作品来说，它来自于小说。他一共拍了四十八集，这才刚开始已经有很多比较吸引人的情节了，个人觉得还是挺不错的，很期待后面的剧情。张艺兴的二月红不错哦。那个配音是后期的过失，总的来说不错哦
",10,不错 挺好看的,wudham
有丽颖在，怎样都好看，其实下斗还行吧，不过主要看丽颖。张启山也不错，二月红还要继续努力。永远支持丽颖，演技越来越好，永远支持丽颖，永远支持丽颖，永远支持丽颖，永远支持丽颖，永远支持丽颖，永远支持永远支持丽颖，丽颖永远支持丽颖，，永远支持丽颖，永远支持丽颖，永远支持丽颖，永远支持丽颖，永远支持丽颖，哈哈。,10,丽颖把伊新月角色演绎得很好，说话，表情都很到位。,小馊馊00
垃圾  都是水军来的吧。这点击造价的吧。以为正常人智商到底有多低吗？开场火车进站的人血怎么来的，逗我呢。导演到底是谁，就是这人物年龄都全部有问题啊。不行在多打字了垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊垃圾啊,2,垃圾,147****3190_m1338
浪费我感情啊，这剧让我看睡着了，不知道要说啥，这也不是三叔的路子啊！没什么好说的，找不到零分！补足140字！补足140字！补足140字！补足140字！补足140字！补足140字！补足140字！补足140字！补足140字！补足140字！补足140字！补足140字！补足140字！补足140字！补足140字！补足140字！补足140字！补足140字！补足140字！补足140字！,2,剧情这慢的，全TN是对白啊！,有人  別犯賤
握草，我才看到12分钟，看到副官的正面特写，我差点吓尿，这真是神了，要技术没技术，要剧情也被你们玩坏了，我真是服了，本来是想给0分的，但是我找不到0分在哪里！！！！！！！！还要你妹的140字，还要你妹的140字，还要你妹的140字，还要你妹的140字，还要你妹的140字，还要你妹的140字，还要你妹的140字，还要你妹的140字！！！！,2,看完的已经无敌了,183****9151_m1864
"每个人都非常喜欢，要挤时间看。陈伟霆让妹子们迷得不要不要的，大露腹肌，脸快笑僵了；二爷和丫头的感情更不用说，羡慕一片儿众人；也喜欢新月，敢爱敢恨；不过还是更喜欢八爷，不会武功还和大家出生入shi的，把整个形象演绎的很妙；副官也很帅。整个看颜值和演技的戏最适合我们这群迷妹了。不过还是要吐槽一下，一共四十八集，三个月才能看完。宝宝心里苦啊
                        ",10,超喜欢三叔,爱吃泡面の尉迟长运
其实拍得挺好的，就是少了点恐怖感，拍出来感觉没有害怕与紧张，可能是我看多了恐怖片免疫了吧，对感观的的要求可能需要更重，二爷温和内敛且充满了神秘，佛爷帅气霸气都发挥的挺好的，如果用拍电影的手法来拍，估计出来的效果会更好，陈皮阿四让我感到害怕与讨厌，不错，表达很到位。只是佛爷啊你耍帅的镜头是否大多了呀？,10,老九门陈伟霆 / 张艺兴,lola罗拉
"赵丽颖最美丽,演计好  赵丽颖最美丽,演计好 赵丽颖最美丽,演计好赵丽颖最美丽,演计好  赵丽颖最美丽,演计好 赵丽颖最美丽,演计好  赵丽颖最美丽,演计好 赵丽颖最美丽,演计好赵丽颖最美丽,演计好  赵丽颖最美丽,演计好 赵丽颖最美丽,演计好  赵丽颖最美丽,演计好 赵丽颖最美丽,演计好赵丽颖最美丽,演计好  赵丽颖最美丽,演计好 赵丽颖最美丽,演计好  赵丽颖最美丽,演计好 赵丽颖最美丽,演计好赵丽颖最美丽,演计好  赵丽颖最美丽,演计好 ",10,赵丽颖,局外人_qq2132
"老九门收视率这是要破100亿的节奏了，很喜欢了，全是满满的帅哥，可爱的女主角，愿赵丽颖别抢走我们的陈伟霆了，不要让我们的等等只在我们心中。小鲜肉们真的都挺帅，弱弱的问句霍三娘和陆建勋是亲兄妹吗???
老九门收视率这是要破100亿的节奏了，很喜欢了，全是满满的帅哥，可爱的女主角，愿赵丽颖别抢走我们的陈伟霆了，不要让我们的等等只在我们心中。小鲜肉们真的都挺帅，弱弱的问句霍三娘和陆建勋是亲兄妹吗???
老九门收视率这是要破100亿的节奏了，很喜欢了，全是满满的帅哥，可爱的女主角，愿赵丽颖别抢走我们的陈伟霆了，不要让我们的等等只在我们心中。小鲜肉们真的都挺帅，弱弱的问句霍三娘和陆建勋是亲兄妹吗???",10,望破100亿收视率,爱吃烧烤de第二韶华
赶紧说这个电视剧很差，那不理智，但你说他好，也肯定不对。总体来说觉得张艺兴演二爷差很多火候，佛爷还可以，总体剧情来说也算中规中矩，完全还原原著根本不可能实现，不想看的直接就去看小说好了。总结 也就一般般，不过能拍成这样已经不错了给7分吧。...........影评要140字么，真是醉了。不过前期宣传确实牛，粉丝集团也大，一群小鲜肉，现在真是看脸的社会，收视率都得靠这个顶！d=====(￣▽￣*)b，当然并没有说长得帅不对哈，就是感慨一下。加油吧，希望盗墓笔记系列越拍越好，还有怎么盗墓笔记出一季就不出了那，没意思。,6,一般般,156****4922_m1913
大体上还可以，就是环境设置没有想象中的大气和精致。没有太多的儿女情长，这很好，太多儿女情长让人反胃。反派和正派颜值相差太差，让人一看就知道谁是反派正派，反派一点都不出色。（虽然老九门的主角够多了。就目前几集来看。后面没看不知道。）反正比起一般小说改成电视剧要好上很多。拍陈皮的镜头长点心行不行，你要拍他的凶狠，只能靠拉低镜头吗？表现方式也太粗糙了吧，如果是拍古装剧，肯定是画眼线和眼影来表示他要放大招？解九这个角色挑选的差了点，解家人普遍长得好看。这个挑选出来的角色也只是有点儒气而已，颜值和气场都不在线。,10,陈伟霆好帅,180****8136_m1439
